매물명,분류,매물번호,방향,해당층,총층,방수,욕실수,총주차대수,총세대수,준공년월
포레스 B동,주상복합,2060055940,남동,3,7,3,2,2003.08.
연립 신형빌라A,빌라/연립,2060383532,남동,-1,4,3,1,5,10,1992.01.
천호네스빌 1동,주상복합,2060129208,동,5,7,1,1,2003.03.
길동청광플러스원큐브1차 1동,오피스텔,2060606931,동,4,5,1,1,2012.11.
길동청광플러스원큐브1차 1동,오피스텔,2060608040,동,5,5,1,1,2012.11.
둔촌하이츠 1동,아파트,2060624377,동,13,20,3,2,1998.05.
강일리버파크7단지 709동,아파트,2060618995,남서,11,15,3,2,2009.06.
일반상가,상가점포,2060642439,-1,3,1,1984.01.
빌라 금성빌리지,빌라/연립,2060632633,서,2,5,3,1,8,-,2003.03.
빌라,빌라/연립,2060644858,-,3,6,2,,1,-,2017.08.
빌라 다성월드타운비동,빌라/연립,2060623156,남동,4,4,3,2,13,12,1998.05.
빌라,빌라/연립,2060587564,남동,5,6,3,2,10,13,2015.11.
빌라 청조크린빌B,빌라/연립,2060522646,-,6,6,2,1,1,-,2016.04.
삼익맨션(삼익가든) 5동,아파트,2060574131,남,4,10,5,2,1984.11.
래미안솔베뉴 107동,아파트,2060521567,-,34,35,3,2,2019.06.
빌라,빌라/연립,2060591850,-,4,6,3,2,1,-,2016.01.
천호e-편한세상 101동,아파트,2060539236,남서,3,13,3,2,2005.10.
고덕주공9단지 901동,아파트,2060393090,남,13,15,3,1,1985.11.
빌라 동원하이츠빌라,빌라/연립,2060526097,남,-1,4,3,1,4,10,1992.11.
빌라,빌라/연립,2060501097,-,5,6,3,2,8,10,2015.04.
빌라,빌라/연립,2060506586,-,3,6,2,1,10,18,2019.02.
빌라 청조크린빌,빌라/연립,2060537763,남서,6,6,2,1,8,10,2016.04.
빌라 현진빌리지,빌라/연립,2060576498,서,3,5,2,1,8,16,2012.12.
빌라,빌라/연립,2060547357,남,1,2,2,1,-,6,1986.09.
빌라 런던빌,빌라/연립,2060501504,동,3,6,2,1,7,13,2016.06.
단독,단독/다가구,2060505319,남,5,2,2,3,1979.11.
빌라,빌라/연립,2060553836,북,6,6,3,2,12,15,2014.11.
빌라,빌라/연립,2060590158,-,4,6,3,2,1,-,
빌라,빌라/연립,2060501580,-,3,6,2,1,1,-,2019.02.
래미안솔베뉴 101동,아파트,2060589284,남동,22,35,3,2,2019.06.
빌라 한강그린빌,빌라/연립,2060502366,-,4,5,2,1,8,16,2012.05.
고덕리엔파크3단지 338동,아파트,2060282314,남,6,12,3,2,2011.01.
강일타워 1동,오피스텔,2060284295,동,6,10,1,1,2011.06.
빌라 디아트,빌라/연립,2058534400,남동,6,6,3,2,9,15,2020.01.
둔촌푸르지오 106동,아파트,2059890464,남,12,25,3,2,2010.03.
고덕아르테온 328동,아파트,2060362942,남,12,22,3,2,2020.02.
고덕아르테온 307동,아파트,2060352305,동,18,22,3,2,2020.02.
둔촌푸르지오 103동,아파트,2059794518,남,11,23,3,2,2010.03.
트리피움 1동,오피스텔,2060278645,-,4,10,1,1,2015.11.
청호뜨레피움퍼스트 1동,아파트,2060341339,동,2,9,3,1,2016.12.
