atclNo,cortarNo,rletTpCd,tradTpCd,flrInfo,prc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,rltrNm
2058568965,1111016800,D03,A1,5/-2,2050000,359,1411,,37.582714,127.002148,초 역세권 대로변 양면도로를 낀 우량임차 구성의 빌딩,['역세권'],(주)에이원빌딩부동산중개법인
2058602483,1111018500,C02,A1,1/4,35000,75,63,남향,37.602369,126.957552,넓은마당있는빌라 앞이트였고남향예요 상명대정문쪽 교통좋아요,"['25년이내', '마당', '1층', '방두개']",서울공인중개사사무소
2058595433,1111018600,C02,A1,2/3,45000,105,80,남향,37.60468,126.959679,세검정버스정류장3분 세검정초등근처 엘레베타있는 신축급고급빌라,"['방세개', '화장실두개', '총3층', '남향']",서울공인중개사사무소
2058556281,1111016300,D03,A1,4/-1,670000,220,779,,37.570521,127.002873,종로5가역 초역세권 코너입지 빌딩 유동인구 바글바글,['역세권'],(주)에이원빌딩부동산중개법인
2058528622,1111010900,C02,A1,3/5,25000,62,43,,37.580302,126.966443,,"['25년이내', '소형평수', '방두개', '화장실한개']",경복궁 공인중개사 사무소
2058506911,1111018400,D03,A1,2/0,700000,1157,202,,37.592335,126.965494,넓은 대지 신축부지 개발 추천,[],(주)케이에스부동산중개법인(KS)
2058505315,1111012800,D03,A1,5/-1,650000,161,471,,37.572896,126.985557,역세권 올근생 빌딩,['역세권'],(주)케이에스부동산중개법인(KS)
2058264094,1111012900,A03,A1,6/15,120000,166,137,남동향,37.572366,126.982548,종로광화문고급주상복합아파트,"['15년이내', '역세권', '대형평수', '방네개이상']",광화문부동산
2058493171,1111014900,C03,A1,2/-1,710000,550,270,남향,37.582501,126.988972,북촌 한옥마을 창경궁이 내려다 보이는 양옥집,"['방네개이상', '화장실네개이상', '주차가능']",케이렉스공인중개사사무소
2058492948,1111014600,C02,A1,4/4,350000,399,244,남향,37.585834,126.985196,종로고급빌라의 자존심 가회빌라 매매,"['테라스', '마당', '화장실세개']",케이렉스공인중개사사무소
2058497624,1111017500,C03,A1,3/-1,110000,202,205,,37.580364,127.016836,"창신역세권, 수리되어 깨끗함, 입주협의.",['역세권'],하나부동산공인중개사사무소
2058382067,1111018400,C02,A1,1/3,59000,99,77,남향,37.593907,126.963249,부암동최고의위치 대지가가장고가인위치 올수리 거실앞꽃나무넘예쁨 재건축도가능,"['올수리', '1층', '방세개', '화장실한개']",서울공인중개사사무소
2058521435,1111011100,C02,A1,2/4,58000,95,83,,37.581396,126.967992,"급매물, 조용한 주택가, 편리한 교통, 명문학군,","['급매', '방세개', '화장실두개', '주차가능']",경기공인중개사사무소
2058356150,1111018300,A01,A1,10/13,35000,96,64,남향,37.604649,126.96375,큰방큰거실 버스정류장앞 최고의위치,"['25년이내', '방한개', '화장실한개', '고층']",서울공인중개사사무소
2058483974,1111014800,C03,A1,2/-1,145000,128,179,,37.581559,126.987322,월세 받을수 있는집,[],메트로공인중개사
2058506013,1111017500,D03,A1,3/0,400000,189,288,,37.574287,127.021664,역세권 코너건물 추후 투자가치 급상승 예상,['역세권'],(주)케이에스부동산중개법인(KS)
2058254115,1111011800,A03,A1,16/16,170000,173,150,남향,37.573599,126.971957,"확장형 , 임대끼고 매매 ","['25년이내', '역세권', '확장형']",명성공인중개사사무소
2058506026,1111015600,D03,A1,2/-1,1200000,236,657,,37.570293,126.994775,초역세권 대로변 삼면 코너 올근생 빌딩,['역세권'],(주)케이에스부동산중개법인(KS)
2058382439,1111018400,C02,A1,3/4,39000,79,62,남향,37.597517,126.963837,큰도로 하림각정류장1분 예쁜벽돌,"['방세개', '화장실두개', '주차가능', '총4층']",서울공인중개사사무소
2058523752,1111018300,C03,A1,2/-1,230000,360,154,남동향,37.604447,126.9674,평창동 수영장 있는 소형 단독주택 매매,"['4년이내', '방네개이상', '화장실세개']",(주)안부동산중개법인 한남점
2058314475,1111018300,A01,A1,1/5,190000,253,219,남동향,37.610405,126.978111,"산조망과 거실앞 작은 정원,자연 친화적인 아파트","['15년이내', '1층', '대형평수']",귀빈부동산공인중개사사무소
2058393259,1111017500,E03,A1,-,170000,185,0,,37.575013,127.01966,신축가능한 건축부지,['역세권'],조은현대공인
2058346972,1111017400,A01,A1,13/14,82000,138,115,남동향,37.580512,127.012315,"로얄층, 전망있음, 채광아주좋음, 매우 환한집","['25년이상', '역세권', '대형평수', '방네개이상']",원투공인중개사사무소
2058504637,1111017500,A02,A1,6/15,18000,52,29,남향,37.572784,127.015915,"동묘역2분, 남향, 월세안고 매매.","['25년이내', '역세권', '소형평수', '방한개']",하나부동산공인중개사사무소
2058501041,1111018600,C03,A1,1/0,35000,116,36,남동향,37.604544,126.960024,"작은 단독주택, 예쁜 마당이 있습니다.","['마당', '방세개', '화장실두개', '남동향']",좋은집공인
2057428204,1111018300,D01,A1,2/9,89000,355,299,남향,37.610057,126.976307,메인 대로변에 위치한 주상복합 상가 2층이며 올수리되었으며 거주도 가능함,"['주차가능', '남향']",굿모닝공인중개사무소
2057715419,1111015700,A03,A1,중/19,90000,105,84,서향,37.571543,126.999064,실입주가능매물. 종로역세권. 도심살기좋아요. 협의가능,"['15년이내', '역세권', '방세개', '화장실두개']",삼성공인중개사사무소
2058134078,1111011800,A02,A1,4/16,29500,69,37,동향,37.573918,126.972383,"조망채광굿, 올빌트인, 전용11,","['25년이내', '역세권', '화장실한개']",열린공인중개사사무소
2058253473,1111011800,A02,A1,16/18,31000,82,41,서향,37.573449,126.973341,"복층, 21년 3월이후","['25년이내', '역세권', '복층']",명성공인중개사사무소
2058122537,1111015700,A03,A1,15/19,110000,122,98,남서향,37.571543,126.999064,역세권에 살기좋은 아파트 매매,"['15년이내', '역세권', '방세개', '화장실두개']",주얼리시티공인중개사사무소
2059891212,1111014800,C03,A1,1/0,161000,152,90,남향,37.583218,126.987629,"본채는 쾌적한 전통한옥, 바깥채는 모던한형태의  대수선된 한옥","['방네개이상', '화장실세개', '남향']",부동산카페공인중개사사무소
2059842103,1111017500,C02,A1,1/4,37000,75,45,,37.578536,127.016323,,"['10년이내', '역세권', '1층', '방세개']",대화공인중개사사무소
2059850315,1111018300,C03,A1,2/-1,150000,496,284,동향,37.616081,126.975996,아주 저렴한 급매물평당 1000만원입니다.,"['25년이내', '급매', '방네개이상']",태영공인중개사사무소
2059851892,1111018300,C03,A1,2/-1,350000,430,316,남향,37.612467,126.971426,,"['25년이상', '방네개이상', '화장실세개']",태영공인중개사사무소
2059852725,1111013900,C03,A1,1/0,155000,153,62,동향,37.584406,126.98057,"총리공관 인근 , 채광좋고 내외부 상태 좋은 한옥 단층 주택","['방네개이상', '화장실두개', '주차가능', '동향']",부동산카페공인중개사사무소
2059852315,1111014000,C03,A1,1/0,144000,148,97,남서향,37.58285,126.982323,삼청동 하늘재인근  전망 좋은 구옥 단층 주택,"['방네개이상', '화장실두개', '남서향']",부동산카페공인중개사사무소
2059851614,1111015600,D03,A1,10/-3,3800000,453,3509,,37.57008,126.991007,대로변수익률투자가치좋은빌딩다량보유,['역세권'],평화공인중개사사무소
2059848117,1111012100,C03,A1,2/0,880000,446,344,동향,37.571018,126.971173,,"['방네개이상', '화장실두개', '동향']",한양부동산공인중개사사무소
2059897432,1111017500,C03,A1,2/0,115700,127,49,남향,37.575849,127.019466,지하철 역세권 리모델링 된 입주가능한 단독주택,"['25년이상', '역세권', '방네개이상', '화장실세개']",필공인중개사사무소
2059851690,1111014700,C03,A1,1/0,186200,175,95,남향,37.577815,126.986309,"안국역세권 한옥 단층 주택, 수리되어 깔끔하며 상가로 임대중","['역세권', '방두개', '화장실한개', '남향']",부동산카페공인중개사사무소
2059852779,1111018300,C03,A1,2/-1,250000,701,327,남향,37.609865,126.969195,급매물입니다.,"['25년이상', '급매', '방네개이상', '화장실세개']",태영공인중개사사무소
